in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.40E+02,4.955E+01,-7.786E+00,-1.178E+02,4.000E-02
1.41E+02,5.012E+01,-7.517E+00,-1.187E+02,4.000E-02
1.42E+02,5.070E+01,-7.504E+00,-1.181E+02,4.000E-02
1.43E+02,5.129E+01,-7.320E+00,-1.193E+02,4.000E-02
1.44E+02,5.188E+01,-7.332E+00,-1.191E+02,4.000E-02
1.45E+02,5.248E+01,-7.229E+00,-1.203E+02,4.000E-02
1.46E+02,5.309E+01,-7.161E+00,-1.204E+02,4.000E-02
1.47E+02,5.370E+01,-7.129E+00,-1.197E+02,4.000E-02
1.48E+02,5.433E+01,-6.943E+00,-1.203E+02,4.000E-02
1.49E+02,5.495E+01,-6.885E+00,-1.204E+02,4.000E-02
1.50E+02,5.559E+01,-6.724E+00,-1.205E+02,4.000E-02
1.51E+02,5.623E+01,-6.902E+00,-1.205E+02,4.000E-02
1.52E+02,5.689E+01,-6.620E+00,-1.227E+02,4.000E-02
1.53E+02,5.754E+01,-6.547E+00,-1.211E+02,4.000E-02
1.54E+02,5.821E+01,-6.617E+00,-1.223E+02,4.000E-02
1.55E+02,5.888E+01,-6.443E+00,-1.216E+02,4.000E-02
1.56E+02,5.957E+01,-6.498E+00,-1.231E+02,4.000E-02
1.57E+02,6.026E+01,-6.339E+00,-1.232E+02,4.000E-02
1.58E+02,6.095E+01,-6.303E+00,-1.236E+02,4.000E-02
1.59E+02,6.166E+01,-6.182E+00,-1.235E+02,4.000E-02
1.60E+02,6.237E+01,-6.180E+00,-1.235E+02,4.000E-02
1.61E+02,6.310E+01,-6.050E+00,-1.244E+02,4.000E-02
1.62E+02,6.383E+01,-5.979E+00,-1.242E+02,4.000E-02
1.63E+02,6.457E+01,-5.896E+00,-1.253E+02,4.000E-02
1.64E+02,6.531E+01,-5.892E+00,-1.247E+02,4.000E-02
1.65E+02,6.607E+01,-5.728E+00,-1.262E+02,4.000E-02
1.66E+02,6.683E+01,-5.671E+00,-1.260E+02,4.000E-02
1.67E+02,6.761E+01,-5.520E+00,-1.265E+02,4.000E-02
1.68E+02,6.839E+01,-5.367E+00,-1.269E+02,4.000E-02
1.69E+02,6.918E+01,-5.375E+00,-1.272E+02,4.000E-02
1.70E+02,6.998E+01,-5.310E+00,-1.270E+02,4.000E-02
1.71E+02,7.079E+01,-5.296E+00,-1.277E+02,4.000E-02
1.72E+02,7.161E+01,-5.167E+00,-1.281E+02,4.000E-02
1.73E+02,7.244E+01,-5.188E+00,-1.284E+02,4.000E-02
1.74E+02,7.328E+01,-5.108E+00,-1.289E+02,4.000E-02
1.75E+02,7.413E+01,-5.064E+00,-1.297E+02,4.000E-02
1.76E+02,7.499E+01,-4.982E+00,-1.295E+02,4.000E-02
1.77E+02,7.586E+01,-4.790E+00,-1.300E+02,4.000E-02
1.78E+02,7.674E+01,-4.780E+00,-1.304E+02,4.000E-02
1.79E+02,7.762E+01,-4.669E+00,-1.303E+02,4.000E-02
1.80E+02,7.852E+01,-4.715E+00,-1.301E+02,4.000E-02
1.81E+02,7.943E+01,-4.718E+00,-1.311E+02,4.000E-02
1.82E+02,8.035E+01,-4.562E+00,-1.323E+02,4.000E-02
1.83E+02,8.128E+01,-4.462E+00,-1.320E+02,4.000E-02
1.84E+02,8.222E+01,-4.451E+00,-1.327E+02,4.000E-02
1.85E+02,8.318E+01,-4.295E+00,-1.333E+02,4.000E-02
1.86E+02,8.414E+01,-4.264E+00,-1.336E+02,4.000E-02
1.87E+02,8.511E+01,-4.255E+00,-1.335E+02,4.000E-02
1.88E+02,8.610E+01,-4.195E+00,-1.343E+02,4.000E-02
1.89E+02,8.710E+01,-4.094E+00,-1.343E+02,4.000E-02
1.90E+02,8.810E+01,-4.005E+00,-1.348E+02,4.000E-02
1.91E+02,8.913E+01,-4.002E+00,-1.361E+02,4.000E-02
1.92E+02,9.016E+01,-3.923E+00,-1.355E+02,4.000E-02
1.93E+02,9.120E+01,-3.936E+00,-1.366E+02,4.000E-02
1.94E+02,9.226E+01,-3.760E+00,-1.361E+02,4.000E-02
1.95E+02,9.333E+01,-3.760E+00,-1.369E+02,4.000E-02
1.96E+02,9.441E+01,-3.733E+00,-1.376E+02,4.000E-02
1.97E+02,9.550E+01,-3.524E+00,-1.380E+02,4.000E-02
1.98E+02,9.661E+01,-3.587E+00,-1.383E+02,4.000E-02
1.99E+02,9.772E+01,-3.542E+00,-1.385E+02,4.000E-02
2.00E+02,9.886E+01,-3.564E+00,-1.388E+02,4.000E-02
2.01E+02,1.000E+02,-3.469E+00,-1.395E+02,4.000E-02
2.02E+02,1.012E+02,-3.336E+00,-1.403E+02,4.000E-02
2.03E+02,1.023E+02,-3.330E+00,-1.403E+02,4.000E-02
2.04E+02,1.035E+02,-3.216E+00,-1.404E+02,4.000E-02
2.05E+02,1.047E+02,-3.183E+00,-1.410E+02,4.000E-02
2.06E+02,1.059E+02,-3.158E+00,-1.413E+02,4.000E-02
2.07E+02,1.072E+02,-3.115E+00,-1.417E+02,4.000E-02
2.08E+02,1.084E+02,-3.019E+00,-1.423E+02,4.000E-02
2.09E+02,1.096E+02,-2.949E+00,-1.427E+02,4.000E-02
2.10E+02,1.109E+02,-2.909E+00,-1.432E+02,4.000E-02
2.11E+02,1.122E+02,-2.900E+00,-1.436E+02,4.000E-02
2.12E+02,1.135E+02,-2.834E+00,-1.438E+02,4.000E-02
2.13E+02,1.148E+02,-2.770E+00,-1.441E+02,4.000E-02
2.14E+02,1.161E+02,-2.788E+00,-1.447E+02,4.000E-02
2.15E+02,1.175E+02,-2.772E+00,-1.447E+02,4.000E-02
2.16E+02,1.189E+02,-2.600E+00,-1.455E+02,4.000E-02
2.17E+02,1.202E+02,-2.571E+00,-1.452E+02,4.000E-02
2.18E+02,1.216E+02,-2.594E+00,-1.463E+02,4.000E-02
2.19E+02,1.230E+02,-2.408E+00,-1.469E+02,4.000E-02
2.20E+02,1.245E+02,-2.572E+00,-1.474E+02,4.000E-02
2.21E+02,1.259E+02,-2.336E+00,-1.473E+02,4.000E-02
2.22E+02,1.274E+02,-2.475E+00,-1.486E+02,4.000E-02
2.23E+02,1.288E+02,-2.262E+00,-1.486E+02,4.000E-02
2.24E+02,1.303E+02,-2.338E+00,-1.490E+02,4.000E-02
2.25E+02,1.318E+02,-2.206E+00,-1.490E+02,4.000E-02
2.26E+02,1.334E+02,-2.162E+00,-1.503E+02,4.000E-02
2.27E+02,1.349E+02,-2.155E+00,-1.494E+02,4.000E-02
2.28E+02,1.365E+02,-2.156E+00,-1.495E+02,4.000E-02
2.29E+02,1.380E+02,-2.138E+00,-1.506E+02,4.000E-02
2.30E+02,1.396E+02,-2.156E+00,-1.514E+02,4.000E-02
2.31E+02,1.413E+02,-1.927E+00,-1.518E+02,4.000E-02
2.32E+02,1.429E+02,-2.096E+00,-1.514E+02,4.000E-02
2.33E+02,1.445E+02,-1.972E+00,-1.534E+02,4.000E-02
2.34E+02,1.462E+02,-1.944E+00,-1.519E+02,4.000E-02
2.35E+02,1.479E+02,-1.897E+00,-1.529E+02,4.000E-02
2.36E+02,1.496E+02,-1.767E+00,-1.543E+02,4.000E-02
2.37E+02,1.514E+02,-1.763E+00,-1.550E+02,4.000E-02
2.38E+02,1.531E+02,-1.795E+00,-1.553E+02,4.000E-02
2.39E+02,1.549E+02,-1.838E+00,-1.545E+02,4.000E-02
2.40E+02,1.567E+02,-1.689E+00,-1.548E+02,4.000E-02
2.41E+02,1.585E+02,-1.698E+00,-1.568E+02,4.000E-02
2.42E+02,1.603E+02,-1.598E+00,-1.561E+02,4.000E-02
2.43E+02,1.622E+02,-1.559E+00,-1.573E+02,4.000E-02
2.44E+02,1.641E+02,-1.665E+00,-1.573E+02,4.000E-02
2.45E+02,1.660E+02,-1.479E+00,-1.577E+02,4.000E-02
2.46E+02,1.679E+02,-1.555E+00,-1.580E+02,4.000E-02
2.47E+02,1.698E+02,-1.493E+00,-1.592E+02,4.000E-02
2.48E+02,1.718E+02,-1.404E+00,-1.599E+02,4.000E-02
2.49E+02,1.738E+02,-1.356E+00,-1.593E+02,4.000E-02
2.50E+02,1.758E+02,-1.412E+00,-1.605E+02,4.000E-02
2.51E+02,1.778E+02,-1.258E+00,-1.606E+02,4.000E-02
2.52E+02,1.799E+02,-1.365E+00,-1.609E+02,4.000E-02
2.53E+02,1.820E+02,-1.286E+00,-1.612E+02,4.000E-02
2.54E+02,1.841E+02,-1.275E+00,-1.618E+02,4.000E-02
2.55E+02,1.862E+02,-1.303E+00,-1.621E+02,4.000E-02
2.56E+02,1.884E+02,-1.199E+00,-1.627E+02,4.000E-02
2.57E+02,1.905E+02,-1.240E+00,-1.633E+02,4.000E-02
2.58E+02,1.928E+02,-1.217E+00,-1.629E+02,4.000E-02
2.59E+02,1.950E+02,-1.262E+00,-1.636E+02,4.000E-02
2.60E+02,1.972E+02,-1.185E+00,-1.643E+02,4.000E-02
2.61E+02,1.995E+02,-1.156E+00,-1.646E+02,4.000E-02
2.62E+02,2.018E+02,-1.136E+00,-1.643E+02,4.000E-02
2.63E+02,2.042E+02,-1.049E+00,-1.661E+02,4.000E-02
2.64E+02,2.065E+02,-1.029E+00,-1.655E+02,4.000E-02
2.65E+02,2.089E+02,-1.108E+00,-1.667E+02,4.000E-02
2.66E+02,2.113E+02,-1.006E+00,-1.671E+02,4.000E-02
2.67E+02,2.138E+02,-9.521E-01,-1.669E+02,4.000E-02
2.68E+02,2.163E+02,-1.115E+00,-1.682E+02,4.000E-02
2.69E+02,2.188E+02,-9.177E-01,-1.679E+02,4.000E-02
2.70E+02,2.213E+02,-1.001E+00,-1.691E+02,4.000E-02
2.71E+02,2.239E+02,-8.901E-01,-1.692E+02,4.000E-02
2.72E+02,2.265E+02,-8.934E-01,-1.686E+02,4.000E-02
2.73E+02,2.291E+02,-8.721E-01,-1.701E+02,4.000E-02
2.74E+02,2.317E+02,-8.346E-01,-1.709E+02,4.000E-02
2.75E+02,2.344E+02,-8.613E-01,-1.703E+02,4.000E-02
